,dataset,topic,topics,articles,tokens,coref_chain,mentions,event_mentions,entity_mentions,singletons,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_all,F1_CONLL_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_wo_singl,F1_CONLL_wo_singl
GVC\0\subtopic,GVC,0/546629,1,1,0,2,11,11,0,11,5.5,1.212,3.0,52.597,5.5,1.212,3.0,52.597
GVC\0\subtopic,GVC,0/548527,1,2,0,7,28,28,0,27,42.143,11.457,8.286,37.793,49.0,11.492,9.5,37.503
GVC\0\subtopic,GVC,0/548991,1,2,0,5,34,34,0,31,6.8,1.158,2.8,59.953,6.8,1.158,2.8,59.953
GVC\0\subtopic,GVC,0/549432,1,2,0,4,19,19,0,18,4.75,2.302,3.0,40.803,6.0,2.375,3.667,36.113
GVC\0\subtopic,GVC,0/551295,1,2,0,3,10,10,0,10,3.333,0.808,1.667,78.56,4.5,0.787,2.0,74.443
GVC\0\subtopic,GVC,0/554133,1,1,0,19,62,62,0,61,17.421,10.405,3.947,39.38,29.364,10.638,6.091,37.993
GVC\0\subtopic,GVC,0/554759,1,2,0,6,36,36,0,33,50.333,11.196,10.333,37.15,50.333,11.196,10.333,37.15
GVC\0\subtopic,GVC,0/556993,1,3,0,7,72,72,0,67,47.714,10.17,8.857,37.3,55.5,10.197,10.167,37.143
GVC\0\subtopic,GVC,0/557852,1,1,0,5,16,16,0,15,56.8,11.845,10.8,35.683,56.8,11.845,10.8,35.683
GVC\0\subtopic,GVC,0/558618,1,2,0,3,16,16,0,13,5.333,0.953,2.0,75.61,7.5,0.95,2.5,70.97
GVC\0\subtopic,GVC,0/561245,1,2,0,8,18,18,0,17,2.25,0.704,1.125,66.923,3.5,0.619,1.25,78.81
GVC\0\subtopic,GVC,0/562315,1,4,0,6,63,63,0,59,55.333,10.364,10.833,36.783,55.333,10.364,10.833,36.783
GVC\0\subtopic,GVC,0/566863,1,2,0,8,32,32,0,29,4.0,1.729,2.375,54.023,5.8,1.805,3.2,48.517
GVC\0\subtopic,GVC,0/571210,1,4,0,6,76,76,0,69,57.0,9.947,11.167,36.8,57.0,9.947,11.167,36.8
GVC\0\subtopic,GVC,0/571479,1,3,0,6,38,38,0,31,51.167,11.01,10.0,36.743,51.167,11.01,10.0,36.743
GVC\0\subtopic,GVC,0/571922,1,3,0,5,31,31,0,30,6.2,1.785,2.8,64.913,7.5,1.812,3.25,62.287
